split,coarse_label,requested,available,taken,shortfall,problems,max_per_problem
train,ERROR_FREE,6000,2571993,6000,0,1523,4
train,COMPILE_ERROR,18000,228192,18000,0,1314,18
train,RUNTIME_ERROR,15000,199961,15000,0,1260,16
train,LOGICAL,6000,1583888,6000,0,1412,5
val,ERROR_FREE,2000,896626,2000,0,1248,2
val,COMPILE_ERROR,6000,76498,6000,0,1045,7
val,RUNTIME_ERROR,5000,67385,5000,0,1006,6
val,LOGICAL,2000,487502,2000,0,1137,2
test,ERROR_FREE,2000,884430,2000,0,1246,2
test,COMPILE_ERROR,6000,71363,6000,0,1048,7
test,RUNTIME_ERROR,5000,72324,5000,0,1013,6
test,LOGICAL,2000,499894,2000,0,1151,2
