submission_id,problem_id,outcome,classification,stderr_tail
s269285035,p00244,COMPILED_CLEAN,,
s312504681,p03269,FAILED,OTHER,"n\data\processed\sources\p03269\C++\s312504681.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03269\C++\s312504681.cpp:50:31: error: '_lzcnt_u64' was not declared in this scope
     int mx = 64 - _lzcnt_u64(L) - 1;
                               ^
"
s966843997,p03371,FAILED,OTHER,"               ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03371\C++\s966843997.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03371\C++\s966843997.cpp:12:3: error: 'dp' was not declared in this scope
   dp[0][0]=0;
   ^~
"
s827408217,p03543,FAILED,OTHER,"43\C++\s827408217.cpp:11:16: error: 'sz' was not declared in this scope
  forn(i, sz(one)-1){
                ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03543\C++\s827408217.cpp:11:19: error: 'forn' was not declared in this scope
  forn(i, sz(one)-1){
                   ^
"
s096307416,p00291,FAILED,OTHER,"sed\sources\p00291\C++\s096307416.cpp:21:5: error: 'cout' was not declared in this scope
     cout << endl;
     ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00291\C++\s096307416.cpp:21:13: error: 'endl' was not declared in this scope
     cout << endl;
             ^~~~
"
s466359164,p01427,COMPILED_CLEAN,,
s486132026,p00691,FAILED,OTHER,"fect-prediction\data\processed\sources\p00691\C++\s486132026.cpp:4:7: error: expected unqualified-id before '?' token
 ãƒ†ã�¤?
       ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00691\C++\s486132026.cpp:9:7: error: expected unqualified-id before '?' token
 ãƒ†ã�¤?
       ^
"
s731402332,p01291,FAILED,OTHER,"iled:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01291\C++\s731402332.cpp:102:69: note:   candidate expects 3 arguments, 1 provided
  return min({dist(s, t.a), dist(s, t.b), dist(t, s.a), dist(t, s.b)});
                                                                     ^
"
s063453103,p02266,FAILED,OTHER," does not have class type
     ans.push_back(s2.top.second);
                   ^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02266\C++\s063453103.cpp:33:32: error: 'reverse' was not declared in this scope
   reverse(ans.begin(),ans.end());
                                ^
"
s196234627,p02978,FAILED,OTHER,"':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02978\C++\s196234627.cpp:12:74: error: 'min' was not declared in this scope
   ans = min(ans, dp(l, i, x, x + y) + dp(i, r, x + y, y) + a[i] * (x + y));
                                                                          ^
"
s546788847,p01977,COMPILED_CLEAN,,
